y, predicted
-1.204584865095004826e-03,-1.775421202182769775e-03
-1.447459258631062428e-03,-1.738111022859811783e-03
-1.468834683185676459e-03,-1.800724305212497711e-03
-9.015244936445724949e-04,-1.775232143700122833e-03
-1.290659804159482700e-03,-1.765444409102201462e-03
-1.700417374025160744e-03,-1.787052955478429794e-03
-1.632795734668500334e-03,-1.803039573132991791e-03
-1.568669107689397513e-03,-1.792771741747856140e-03
-1.625734928723511063e-03,-1.799210906028747559e-03
-1.547307947117591105e-03,-1.794590614736080170e-03
-1.451002480453274018e-03,-1.826505642384290695e-03
-1.390366470361537781e-03,-1.802992541342973709e-03
-1.504469090478933622e-03,-1.786952838301658630e-03
-1.358317476722496059e-03,-1.809192821383476257e-03
-1.522328039669228281e-03,-1.783137675374746323e-03
-1.647134969435779016e-03,-1.780031714588403702e-03
-1.615085930033290660e-03,-1.767938490957021713e-03
-1.839901072325777435e-03,-1.773523632436990738e-03
-1.340287342129331278e-03,-1.736880745738744736e-03
-1.415251405972797012e-03,-1.769768074154853821e-03
-1.433176940992007603e-03,-1.767661422491073608e-03
-1.568754152740527369e-03,-1.787188462913036346e-03
-1.297506494109005150e-03,-1.816652249544858932e-03
-1.297575494053396748e-03,-1.806343905627727509e-03
-1.433174814011504636e-03,-1.808122731745243073e-03
-1.839730246472446977e-03,-1.813653390854597092e-03
-1.540207570393916162e-03,-1.768467947840690613e-03
-1.436707579277161787e-03,-1.796343363821506500e-03
-1.504520208322252537e-03,-1.769923605024814606e-03
-1.550918281141855544e-03,-1.805596053600311279e-03
-1.483107056068821246e-03,-1.796586904674768448e-03
-1.333188187670778999e-03,-1.840280368924140930e-03
-1.500949180528735527e-03,-1.803242135792970657e-03
-1.536635343182605334e-03,-1.823051832616329193e-03
-1.436710897483569130e-03,-1.794745679944753647e-03
-1.461695435010579476e-03,-1.783123239874839783e-03
-1.575886766669253990e-03,-1.776226330548524857e-03
-1.593749588351687672e-03,-1.760518178343772888e-03
-1.558075069622949244e-03,-1.756579615175724030e-03
-1.354571152745767584e-03,-1.764027401804924011e-03
-1.347465204957135412e-03,-1.730104908347129822e-03
-1.486675608543067953e-03,-1.765726599842309952e-03
-1.525929991970435351e-03,-1.741519197821617126e-03
-1.436711561067916107e-03,-1.745721325278282166e-03
-1.679341756627827659e-03,-1.748824492096900940e-03
-1.247525644706556566e-03,-1.724249217659235001e-03
-2.207430549828811629e-03,-1.738668885082006454e-03
-1.590346539294989169e-03,-1.693190075457096100e-03
-1.515275093094635038e-03,-1.673399936407804489e-03
-1.826254902937175795e-03,-1.638694666326045990e-03
-1.515299301951359432e-03,-1.693855505436658859e-03
-1.179049564629978345e-03,-1.790276262909173965e-03
-1.483107056068821246e-03,-1.767036970704793930e-03
-1.232859236636259194e-03,-1.849313732236623764e-03
-1.665339088312407572e-03,-1.797668170183897018e-03
-1.490256020749351805e-03,-1.809315290302038193e-03
-1.250762375612537048e-03,-1.824355218559503555e-03
-5.720251737756715726e-04,-1.774709206074476242e-03
-1.857574785669814221e-03,-1.607902348041534424e-03
-1.475933290955004249e-03,-1.514028292149305344e-03
-1.036983797698834290e-03,-1.594540197402238846e-03
-5.738641040329499994e-04,-1.523748971521854401e-03
-1.372768332865966466e-03,-1.483669970184564590e-03
-1.838959743864866441e-03,-1.534611452370882034e-03
-1.518753327803626331e-03,-1.555097755044698715e-03
-1.493755404315302848e-03,-1.677654683589935303e-03
-1.475948649157333287e-03,-1.774984411895275116e-03
-1.372740962441713463e-03,-1.817833632230758667e-03
-1.312200273430805470e-03,-1.842359546571969986e-03
-1.326496138427884965e-03,-1.839861739426851273e-03
-1.572062616412720501e-03,-1.878589857369661331e-03
-1.611190311328528904e-03,-1.780447084456682205e-03
-1.315833445263060340e-03,-1.848842017352581024e-03
-1.205502415381869532e-03,-1.795907970517873764e-03
-1.490255820522506719e-03,-1.803255639970302582e-03
-1.170121840378095116e-03,-1.831254456192255020e-03
-1.614620633157044793e-03,-1.767840702086687088e-03
